L,Cmps,QPS,Recall,QPS_no_filter
10,99.775,6167.14,0.525,42266.4
20,125.485,5866.45,0.637,31278.6
50,173.362,5114.69,0.7095,17536.2
100,234.87,4320.77,0.7315,10758.5
150,293.997,3828.56,0.735,8149.66
200,348.988,3510.49,0.736,6832
250,399.738,3240.5,0.7385,5878.74
300,446.94,3027.37,0.741,5212.97
400,496.923,2682.69,0.742,4268.58
500,546.566,2437.44,0.7425,3679.5
600,594.53,2240.39,0.7425,3248.23
700,640.225,2061.45,0.743,2885.13
800,683.431,1917.34,0.743,2610.52
1000,727.236,1692.63,0.743,2210.9
1200,770.075,1468.68,0.743,1843.67
