====================ACORN INDEX====================
Search lists       QPS      QPS(filter)      dist_cmp    recall@10
10        3348.52        1948.7        121.55    0.586
20        2739.24        1725.36        151.683    0.6735
50        4348.95        2249.9        206.597    0.7355
100        5139.54        2444.43        274.595    0.7525
150        5136.9        2443.83        339.702    0.756
200        4897.28        2388.24        400.102    0.7595
250        3769.74        2084.22        455.326    0.7605
300        3640.07        2043.97        506.311    0.761
400        3019.87        1832.63        559.829    0.763
500        3101.21        1862.27        612.742    0.764
600        2741.8        1726.37        663.38    0.7665
700        2451.76        1606.7        711.317    0.7665
800        2251.24        1518.09        756.308    0.7665
1000        1924.98        1362.38        801.487    0.767
1200        1705.42        1248.61        845.297    0.767
