====================ACORN INDEX====================
Search lists       QPS      QPS(filter)      dist_cmp    recall@10
10        5572.42        2272.23        40.705    0.318
20        15465.4        3074.08        52.28    0.4495
50        12543.2        2938.02        74.3067    0.5345
100        10569.3        2814.88        101.791    0.5615
150        8357.35        2629.53        127.85    0.572
200        5425.06        2247.34        151.613    0.5775
250        10115.3        2781.64        173.079    0.583
300        9007.8        2690.67        192.368    0.5865
400        7439.61        2531.29        211.893    0.587
500        6453.67        2406.21        230.386    0.587
600        5782.18        2306.35        247.502    0.5875
700        5248.26        2216.41        263.21    0.588
800        4835.13        2139.22        277.483    0.5885
1000        4490.55        2068.98        290.714    0.5885
1200        4237.29        2013.53        302.534    0.589
