L,Cmps,QPS,Recall,QPS_no_filter
10,65.745,9865.82,0.485,41606
20,85.5775,9172.59,0.625,31550.4
50,119.823,7238.55,0.7035,16440.8
100,160.084,5548.17,0.7255,9716.8
150,196.274,4651.6,0.728,7264.56
200,227.795,4050.63,0.7335,5897.96
250,255.474,3613.43,0.734,5014.53
300,279.515,3258.23,0.734,4355.59
400,302.571,2730,0.734,3460.5
500,323.664,2382.88,0.734,2921.11
600,342.628,2154.2,0.734,2584.75
700,359.464,2186.15,0.734,2630.89
800,374.419,2019.22,0.734,2392.83
1000,388.059,1632.55,0.734,1868.41
1200,400.162,1785.92,0.734,2072.06
