L,Cmps,QPS,Recall,QPS_no_filter
10,556.815,4238.02,0.9065,7322.52
20,701.3,3315.11,0.957,4944.25
50,986.687,3108.31,0.989,4497.94
100,1373.27,2252.56,0.997,2902.38
150,1774.96,1823.64,0.9985,2227.37
200,2169.49,1503.68,0.9985,1767.91
250,2551.66,1302.63,0.999,1496.37
300,2919.16,1167.17,0.9995,1320.35
400,3333.85,977.705,0.9995,1082.94
500,3767.61,854.902,1,934.291
600,4205.25,771.454,1,835.52
700,4639.77,699.213,1,751.436
800,5066.95,650.069,1,694.973
1000,5532.99,567.904,1,601.878
1200,6018.3,510.087,1,537.33
