====================ACORN INDEX====================
Search lists       QPS      QPS(filter)      dist_cmp    recall@10
10        7945.64        4064.54        723.92    0.927
20        7680.19        3993.93        905.75    0.9775
50        3987.17        2695.57        1255.18    0.995
100        2381.46        1851.56        1718.42    0.997
150        1753.25        1448.13        2193.78    0.9985
200        1444.13        1230.56        2655.56    0.999
250        1235.93        1076.1        3097.93    0.999
300        1100.66        972.083        3521.22    0.9995
400        916.208        825.334        3993    0.9995
500        796.267        726.726        4483.4    0.9995
600        712.335        656.164        4975.15    0.9995
700        649.713        602.658        5460.11    0.9995
800        599.267        559.009        5934.83    0.9995
1000        521.222        490.498        6448.08    0.9995
1200        465.871        441.172        6978.9    0.9995
